Zipcode,Dispensary Count,Patient Count,Latitude,Longitude
15001,1,1838,40.61,-80.25
15003,0,980,40.59,-80.22
15004,0,33,40.34,-80.38
15005,0,592,40.63,-80.22
15006,0,21,40.63,-79.88
15007,0,25,40.65,-79.93
15009,0,754,40.69,-80.3
15010,0,1573,40.76,-80.32
15012,0,743,40.12,-79.86
15014,0,208,40.61,-79.74
15015,0,50,40.63,-80.08
15017,0,1032,40.35,-80.1
15018,0,41,40.27,-79.8
15019,0,64,40.42,-80.35
15020,0,11,40.23,-79.95
15021,0,312,40.38,-80.39
15022,0,553,40.13,-79.9
15024,0,512,40.54,-79.8
15025,0,889,40.29,-79.88
15026,0,207,40.51,-80.34
15027,0,144,40.66,-80.24
15028,0,9,40.31,-79.79
15030,0,81,40.58,-79.78
15031,0,30,40.35,-80.16
15032,0,5,40.64,-79.84
15033,0,277,40.17,-79.86
15034,0,127,40.35,-79.89
15035,0,163,40.38,-79.81
15037,0,547,40.27,-79.88
15038,0,6,40.25,-79.93
15042,0,458,40.68,-80.25
15043,0,78,40.64,-80.49
15044,1,1527,40.63,-79.94
15045,0,261,40.32,-79.88
15046,0,150,40.55,-80.23
15047,0,32,40.31,-79.8
15049,0,68,40.56,-79.81
15050,0,90,40.59,-80.47
15051,0,45,40.57,-79.86
15052,0,144,40.65,-80.4
15053,0,10,40.38,-80.36
15054,0,28,40.36,-80.4
15055,0,62,40.31,-80.12
15056,0,73,40.56,-80.21
15057,0,867,40.37,-80.23
15059,0,209,40.63,-80.45
15060,0,59,40.37,-80.29
15061,0,787,40.68,-80.27
15062,0,396,40.15,-79.88
15063,0,662,40.19,-79.92
15064,0,34,40.36,-80.15
15065,0,641,40.64,-79.73
15066,0,762,40.73,-80.3
15067,0,96,40.2,-79.95
15068,2,2228,40.56,-79.75
15071,0,716,40.39,-80.18
15072,0,9,40.14,-79.86
15074,0,623,40.7,-80.28
15075,0,15,40.59,-79.83
15076,0,82,40.61,-79.84
15077,0,17,40.62,-80.42
15078,0,24,40.36,-80.38
15081,0,32,40.58,-80.24
15082,0,17,40.38,-80.21
15083,0,60,40.26,-79.79
15084,0,621,40.6,-79.76
15085,0,460,40.38,-79.75
15086,0,25,40.67,-80.11
15087,0,14,40.19,-79.85
15088,0,31,40.27,-79.9
15089,0,318,40.2,-79.76
15090,0,1123,40.63,-80.05
15091,0,2,40.57,-79.95
15101,0,1384,40.57,-79.95
15102,1,1601,40.32,-80.03
15104,0,458,40.4,-79.86
15106,0,1318,40.4,-80.08
15108,0,2278,40.51,-80.16
15110,0,174,40.37,-79.85
15112,0,193,40.4,-79.84
15116,0,709,40.52,-79.95
