Zipcode,Dispensary Count,Patient Count,Latitude,Longitude,Nearest Disp Distance,Nearest Disp Zipcode,Patient Miles
18840,0,163,41.97,-76.53,56.84847593,18504,9266.301576
18810,0,90,41.95,-76.51,55.16860284,18504,4965.174255
16942,0,15,41.98,-77.38,54.84275787,17701,822.6413681
16950,0,44,41.91,-77.54,53.859773,17701,2369.830012
16928,0,5,41.95,-77.43,53.83758891,17701,269.1879445
16920,0,29,41.98,-77.31,53.75324437,17701,1558.844087
16929,0,35,41.99,-77.12,52.65663554,17701,1842.982244
16936,0,21,41.98,-76.95,51.92533799,17701,1090.432098
16925,0,61,41.95,-76.79,51.22134937,17701,3124.502312
16943,0,25,41.83,-77.61,51.17810917,17701,1279.452729
18831,0,20,41.89,-76.6,50.70903356,17701,1014.180671
16927,0,6,41.96,-77.66,50.48276372,16701,302.8965823
18850,0,40,41.84,-76.5,50.16135464,18504,2006.454186
16937,0,7,41.97,-77.71,47.90836458,16701,335.3585521
16935,0,19,41.89,-77.3,47.64974627,17701,905.3451791
16922,0,38,41.73,-77.64,46.82775035,17701,1779.454513
16946,0,35,41.9,-77.13,46.52794564,17701,1628.478097
16921,0,17,41.78,-77.54,46.26760624,17701,786.5493061
16948,0,19,41.9,-77.75,46.0546738,16701,875.0388022
18848,0,232,41.76,-76.44,44.59079086,18504,10345.06348
18830,0,4,41.99,-76.13,44.49102279,18508,177.9640911
18837,0,27,41.85,-76.34,44.02200388,18504,1188.594105
18814,0,3,41.78,-76.61,43.76566184,17701,131.2969855
18832,0,28,41.71,-76.47,43.61005489,18704,1221.081537
16914,0,32,41.83,-76.8,43.0908085,17701,1378.905872
18851,0,25,41.93,-76.18,42.51421234,18504,1062.855308
18854,0,23,41.79,-76.36,42.25871372,18504,971.9504156
17729,0,5,41.51,-77.74,41.66166286,17701,208.3083143
16947,0,152,41.78,-76.78,40.11107429,17701,6096.883292
16933,0,134,41.8,-77.07,39.39145717,17701,5278.455261
15861,0,9,41.38,-78.05,39.09147807,15801,351.8233026
18812,0,16,41.98,-75.92,38.46333584,18519,615.4133734
16351,0,48,41.68,-79.4,38.39735914,16335,1843.073239
16932,0,10,41.78,-76.94,38.24255862,17701,382.4255862
16923,0,18,41.98,-77.9,38.1387535,16701,686.4975629
16901,0,234,41.74,-77.3,37.88225129,17701,8864.446802
18340,0,2,41.42,-74.77,37.43183538,18360,74.86367076
18833,0,56,41.6,-76.44,37.36957884,18704,2092.696415
18818,0,10,41.91,-76.04,37.33823044,18519,373.3823044
18829,0,27,41.83,-76.18,37.14487843,18504,1002.911717
17764,0,79,41.32,-77.74,36.84363135,16803,2910.646877
18458,0,93,41.47,-74.91,36.82672875,18360,3424.885774
16720,0,70,41.63,-78.08,36.81248547,16701,2576.873983
15545,0,39,39.82,-78.72,36.5999714,15901,1427.398884
15834,0,157,41.51,-78.23,36.44877049,15801,5722.456967
15552,0,137,39.81,-79.02,36.34788298,15901,4979.659968
17760,0,17,41.37,-77.7,36.18138678,17701,615.0835753
16350,0,61,41.98,-79.34,36.07998855,16701,2200.879301
16340,0,48,41.81,-79.43,35.85921481,16509,1721.242311
16926,0,9,41.71,-76.77,35.76901084,17701,321.9210975
18336,0,99,41.37,-74.74,35.70476097,18360,3534.771336
15558,0,31,39.75,-79.08,35.39162858,15401,1097.140486
16371,0,131,41.85,-79.31,35.36788388,16701,4633.192789
16917,0,43,41.74,-77.07,35.25703845,17701,1516.052653
18845,0,9,41.79,-76.18,35.14727589,18504,316.325483
16370,0,3,41.58,-79.46,35.07598026,15825,105.2279408
18821,0,17,41.97,-75.74,35.06056896,18519,596.0296723
16915,0,214,41.77,-78.01,35.04703173,16701,7500.06479
17778,0,3,41.3,-77.84,34.64522336,16803,103.9356701
