Zipcode,Dispensary Count,Patient Count,Latitude,Longitude,Nearest Disp Distance,Nearest Disp Zipcode,Pop,Patient Density,Patient Miles,Population Miles
18840,0,163,41.97,-76.53,56.84847593,18504,,#DIV/0!,9266.301577,0
18810,0,90,41.95,-76.51,55.16860284,18504,,#DIV/0!,4965.174256,0
16942,0,15,41.98,-77.38,54.84275787,17701,,#DIV/0!,822.6413681,0
16950,0,44,41.91,-77.54,53.859773,17701,,#DIV/0!,2369.830012,0
16928,0,5,41.95,-77.43,53.83758891,17701,,#DIV/0!,269.1879446,0
16920,0,29,41.98,-77.31,53.75324437,17701,,#DIV/0!,1558.844087,0
16929,0,35,41.99,-77.12,52.65663554,17701,,#DIV/0!,1842.982244,0
16936,0,21,41.98,-76.95,51.92533799,17701,,#DIV/0!,1090.432098,0
16925,0,61,41.95,-76.79,51.22134937,17701,,#DIV/0!,3124.502312,0
16943,0,25,41.83,-77.61,51.17810917,17701,,#DIV/0!,1279.452729,0
18831,0,20,41.89,-76.6,50.70903356,17701,,#DIV/0!,1014.180671,0
16927,0,6,41.96,-77.66,50.48276372,16701,,#DIV/0!,302.8965823,0
18850,0,40,41.84,-76.5,50.16135464,18504,,#DIV/0!,2006.454186,0
16937,0,7,41.97,-77.71,47.90836458,16701,,#DIV/0!,335.3585521,0
16935,0,19,41.89,-77.3,47.64974627,17701,,#DIV/0!,905.3451791,0
16922,0,38,41.73,-77.64,46.82775035,17701,,#DIV/0!,1779.454513,0
16946,0,35,41.9,-77.13,46.52794564,17701,,#DIV/0!,1628.478097,0
16921,0,17,41.78,-77.54,46.26760624,17701,,#DIV/0!,786.5493061,0
16948,0,19,41.9,-77.75,46.0546738,16701,,#DIV/0!,875.0388022,0
18848,0,232,41.76,-76.44,44.59079086,18504,,#DIV/0!,10345.06348,0
18830,0,4,41.99,-76.13,44.49102279,18508,,#DIV/0!,177.9640912,0
18837,0,27,41.85,-76.34,44.02200388,18504,,#DIV/0!,1188.594105,0
18814,0,3,41.78,-76.61,43.76566184,17701,,#DIV/0!,131.2969855,0
18832,0,28,41.71,-76.47,43.61005489,18704,,#DIV/0!,1221.081537,0
16914,0,32,41.83,-76.8,43.0908085,17701,,#DIV/0!,1378.905872,0
18851,0,25,41.93,-76.18,42.51421234,18504,,#DIV/0!,1062.855309,0
18854,0,23,41.79,-76.36,42.25871372,18504,,#DIV/0!,971.9504156,0
17729,0,5,41.51,-77.74,41.66166286,17701,,#DIV/0!,208.3083143,0
16947,0,152,41.78,-76.78,40.11107429,17701,,#DIV/0!,6096.883292,0
16933,0,134,41.8,-77.07,39.39145717,17701,,#DIV/0!,5278.455261,0
15861,0,9,41.38,-78.05,39.09147807,15801,,#DIV/0!,351.8233026,0
18812,0,16,41.98,-75.92,38.46333584,18519,,#DIV/0!,615.4133734,0
16351,0,48,41.68,-79.4,38.39735914,16335,,#DIV/0!,1843.073239,0
16932,0,10,41.78,-76.94,38.24255862,17701,,#DIV/0!,382.4255862,0
16923,0,18,41.98,-77.9,38.1387535,16701,,#DIV/0!,686.497563,0
16901,0,234,41.74,-77.3,37.88225129,17701,,#DIV/0!,8864.446802,0
18340,0,2,41.42,-74.77,37.43183538,18360,,#DIV/0!,74.86367076,0
18833,0,56,41.6,-76.44,37.36957884,18704,,#DIV/0!,2092.696415,0
18818,0,10,41.91,-76.04,37.33823044,18519,,#DIV/0!,373.3823044,0
18829,0,27,41.83,-76.18,37.14487843,18504,,#DIV/0!,1002.911718,0
17764,0,79,41.32,-77.74,36.84363135,16803,,#DIV/0!,2910.646877,0
18458,0,93,41.47,-74.91,36.82672875,18360,,#DIV/0!,3424.885774,0
16720,0,70,41.63,-78.08,36.81248547,16701,,#DIV/0!,2576.873983,0
15545,0,39,39.82,-78.72,36.5999714,15901,,#DIV/0!,1427.398885,0
15834,0,157,41.51,-78.23,36.44877049,15801,,#DIV/0!,5722.456967,0
15552,0,137,39.81,-79.02,36.34788298,15901,,#DIV/0!,4979.659968,0
17760,0,17,41.37,-77.7,36.18138678,17701,,#DIV/0!,615.0835753,0
16350,0,61,41.98,-79.34,36.07998855,16701,,#DIV/0!,2200.879302,0
16340,0,48,41.81,-79.43,35.85921481,16509,,#DIV/0!,1721.242311,0
16926,0,9,41.71,-76.77,35.76901084,17701,,#DIV/0!,321.9210976,0
18336,0,99,41.37,-74.74,35.70476097,18360,,#DIV/0!,3534.771336,0
15558,0,31,39.75,-79.08,35.39162858,15401,,#DIV/0!,1097.140486,0
16371,0,131,41.85,-79.31,35.36788388,16701,,#DIV/0!,4633.192788,0
16917,0,43,41.74,-77.07,35.25703845,17701,,#DIV/0!,1516.052653,0
18845,0,9,41.79,-76.18,35.14727589,18504,,#DIV/0!,316.325483,0
16370,0,3,41.58,-79.46,35.07598026,15825,,#DIV/0!,105.2279408,0
